municipio_codigo;municipio_nombre;municipio_codigo_ine;nuts4_codigo;nuts4_nombre;superficie_km2;densidad_por_km2
1;Acebeda (La);280014;6;Sierra Norte;21.86;3.02
2;Ajalvir;280029;3;Este Metropolitano;19.80;225.00
3;Alameda del Valle;280035;6;Sierra Norte;25.70;7.74
4;Alamo (El);280040;9;Sudoeste Comunidad;22.00;415.86
5;Alcalá de Henares;280053;3;Este Metropolitano;88.11;2205.31
6;Alcobendas;280066;2;Norte Metropolitano;45.24;2538.99
7;Alcorcón;280072;4;Sur Metropolitano;33.57;5008.67
8;Aldea del Fresno;280088;9;Sudoeste Comunidad;51.66;50.64
9;Algete;280091;2;Norte Metropolitano;38.01;537.20
10;Alpedrete;280105;11;Sierra Central;12.66;1124.80
11;Ambite;280112;8;Sudeste Comunidad;51.60;13.12
12;Anchuelo;280127;8;Sudeste Comunidad;21.59;57.34
13;Aranjuez;280133;4;Sur Metropolitano;189.01;307.99
14;Arganda del Rey;280148;3;Este Metropolitano;80.27;670.50
15;Arroyomolinos;280151;9;Sudoeste Comunidad;20.78;1401.73
16;Atazar (El);280164;6;Sierra Norte;28.43;3.41
17;Batres;280170;9;Sudoeste Comunidad;21.36;75.37
18;Becerril de la Sierra;280186;11;Sierra Central;29.64;184.11
19;Belmonte de Tajo;280199;8;Sudeste Comunidad;24.07;67.64
20;Berzosa del Lozoya;280203;6;Sierra Norte;14.62;13.89
21;Berrueco (El);280210;6;Sierra Norte;28.40;26.16
22;Boadilla del Monte;280225;5;Oeste Metropolitano;47.38;1086.18
23;Boalo (El);280231;11;Sierra Central;39.40;186.75
24;Braojos;280246;6;Sierra Norte;24.93;8.34
25;Brea de Tajo;280259;8;Sudeste Comunidad;44.73;12.05
26;Brunete;280262;5;Oeste Metropolitano;49.17;210.96
27;Buitrago del Lozoya;280278;6;Sierra Norte;25.92;71.53
28;Bustarviejo;280284;6;Sierra Norte;56.13;42.74
29;Cabanillas de la Sierra;280297;6;Sierra Norte;13.81;51.56
30;Cabrera (La);280301;6;Sierra Norte;22.14;116.08
31;Cadalso de los Vidrios;280318;10;Sierra Sur;47.84;63.82
32;Camarma de Esteruelas;280323;7;Nordeste Comunidad;35.15;201.54
33;Campo Real;280339;8;Sudeste Comunidad;61.75;97.09
34;Canencia;280344;6;Sierra Norte;54.18;8.27
35;Carabaña;280357;8;Sudeste Comunidad;47.64;40.72
36;Casarrubuelos;280360;9;Sudoeste Comunidad;5.33;684.80
37;Cenicientos;280376;10;Sierra Sur;68.25;29.07
38;Cercedilla;280382;11;Sierra Central;40.82;167.88
39;Cervera de Buitrago;280395;6;Sierra Norte;11.54;13.52
40;Ciempozuelos;280409;4;Sur Metropolitano;49.41;480.41
41;Cobeña;280416;2;Norte Metropolitano;20.79;344.54
42;Colmenar del Arroyo;280421;10;Sierra Sur;49.31;33.10
43;Colmenar de Oreja;280437;8;Sudeste Comunidad;126.33;61.82
44;Colmenarejo;280442;11;Sierra Central;31.49;286.28
45;Colmenar Viejo;280455;2;Norte Metropolitano;182.88;265.82
46;Collado Mediano;280468;11;Sierra Central;22.19;300.41
47;Collado Villalba;280474;5;Oeste Metropolitano;25.19;2467.33
48;Corpa;280480;8;Sudeste Comunidad;25.94;26.37
49;Coslada;280493;3;Este Metropolitano;12.02;6906.07
50;Cubas de la Sagra;280506;9;Sudoeste Comunidad;12.89;474.17
51;Chapinería;280513;10;Sierra Sur;25.55;87.08
52;Chinchón;280528;8;Sudeste Comunidad;115.79;45.25
53;Daganzo de Arriba;280534;7;Nordeste Comunidad;43.40;232.30
54;Escorial (El);280549;11;Sierra Central;68.81;226.16
55;Estremera;280552;8;Sudeste Comunidad;79.13;15.94
56;Fresnedillas de la Oliva;280565;10;Sierra Sur;28.34;54.69
57;Fresno de Torote;280571;7;Nordeste Comunidad;31.75;66.61
58;Fuenlabrada;280587;4;Sur Metropolitano;39.18;4968.58
59;Fuente el Saz de Jarama;280590;7;Nordeste Comunidad;33.15;193.79
60;Fuentidueña de Tajo;280604;8;Sudeste Comunidad;60.18;32.90
61;Galapagar;280611;5;Oeste Metropolitano;65.20;504.65
62;Garganta de los Montes;280626;6;Sierra Norte;40.33;8.21
63;Gargantilla del Lozoya y Pinilla de Buitrago;280632;6;Sierra Norte;24.18;13.03
64;Gascones;280647;6;Sierra Norte;20.07;8.77
65;Getafe;280650;4;Sur Metropolitano;78.59;2268.58
66;Griñón;280663;9;Sudoeste Comunidad;17.09;588.65
67;Guadalix de la Sierra;280679;6;Sierra Norte;60.26;100.38
68;Guadarrama;280685;11;Sierra Central;57.18;273.17
69;Hiruela (La);280698;6;Sierra Norte;17.16;3.03
70;Horcajo de la Sierra-Aoslos;280702;6;Sierra Norte;21.20;6.70
71;Horcajuelo de la Sierra;280719;6;Sierra Norte;23.83;3.69
72;Hoyo de Manzanares;280724;5;Oeste Metropolitano;45.23;177.58
73;Humanes de Madrid;280730;4;Sur Metropolitano;19.66;997.30
74;Leganés;280745;4;Sur Metropolitano;43.23;4342.35
75;Loeches;280758;8;Sudeste Comunidad;44.32;192.35
76;Lozoya;280761;6;Sierra Norte;57.69;9.69
920;Lozoyuela-Navas-Sieteiglesias;289015;6;Sierra Norte;51.43;24.05
78;Madarcos;280783;6;Sierra Norte;8.55;5.38
79;Madrid - Arganzuela;;;;;
80;Madrid - Barajas;;;;;
82;Madrid - Carabanchel;;;;;
83;Madrid - Centro;;;;;
